05 15,-0.3608045560969939
05 16,-0.34953884346672653
05 17,-0.13764648390340123
05 18,-0.3734011558163139
05 19,-0.3573578879703089
05 20,-0.3351387126927939
05 21,-0.23217382176338208
05 22,-0.40110184544851896
05 23,-0.3224506106357613
06 00,-0.40427414705707765
06 01,-0.3841009321853419
06 02,-0.46667397668534194
06 03,-0.3488158424620295
06 04,-0.2933305575409365
06 05,-0.3598423225336148
06 06,-0.30550100542159364
06 07,-0.4305702973913299
06 08,-0.4349038443076875
06 09,-0.5501592978501424
06 10,-0.35458195157141764
06 11,-0.46109517293345537
06 12,-0.49804797024052244
06 13,-0.352269508184766
06 14,-0.40407997865504275
06 15,-0.32320812527633047
06 16,-0.4101509144080629
06 17,-0.4032192094656165
06 18,-0.3294851974050203
06 19,-0.2456930401905223
06 20,-0.3250511874747776
06 21,-0.2884143671149095
06 22,-0.22737922769172897
06 23,-0.25658078851632815
07 00,-0.19761538105175455
07 01,-0.11723363096709108
07 02,-0.06428530560411248
07 03,-0.13225441667785728
07 04,-0.20042266476310208
07 05,-0.15385747020206986
07 06,-0.2787271717022716
07 07,-0.18849354670818846
07 08,-0.15222026498829944
07 09,-0.3652120512150314
07 10,-0.242440616347966
07 11,-0.2502667460691012
07 12,-0.3876999976196308
07 13,-0.23234515405184064
07 14,-0.1320146923540948
07 15,-0.1905184870016849
07 16,-0.28340337051894393
07 17,-0.3326709537269854
07 18,-0.25017841767504057
07 19,-0.12210809733082702
07 20,-0.1057896416272956
07 21,-0.32643577047995925
07 22,-0.23936304850539156
07 23,-0.2035839755381007
