06/2013,0.1302587993561855,0.4024456798130583
07/2013,0.1425107322217108,0.2640843710399109
08/2013,0.16026263843687552,0.25652305432189454
09/2013,0.21928649321274513,0.13409098646375167
10/2013,0.22094627678959988,0.4022205435574008
11/2013,0.3001737133844834,0.4459894421960189
12/2013,0.21410818078068697,0.0652271126651506
01/2014,0.17118112320394305,0.6275123769261294
02/2014,0.21890721751834955,0.5942620564729181
03/2014,0.26276016179930156,0.7575641321969891
04/2014,0.22903257407620237,0.5998003918070575
05/2014,0.2463417162012461,0.2741153610613045
06/2014,0.2246019140320077,0.3922818879839003
07/2014,0.28429875651157765,0.10777544498566749
08/2014,0.3136855954516876,0.03302345062009093
09/2014,0.23466487782988568,0.42067791151251754
10/2014,0.43063516981848926,0.4466169510883833
11/2014,0.34617362776698474,0.42970080363731505
12/2014,0.3326218000886848,0.5545264803908576
01/2015,0.15620987435973357,0.3683460990215863
02/2015,0.2676160594221366,0.6557963978971886
03/2015,0.31953887386520374,0.5798752449418778
04/2015,0.39059599307563486,0.592435239231069
05/2015,0.4322808511122953,0.561346220642638
06/2015,0.4335046770561968,0.6197728138778328
07/2015,0.4644090645814355,0.5160085994067941
08/2015,0.4802873934119645,0.5514043212057513
09/2015,0.5241017303522231,0.5380224086685695
10/2015,0.47393998170028345,0.5154125680672784
11/2015,0.5078284266722425,0.4814516934225996
12/2015,0.509844383006282,0.49140189162003867
01/2016,0.523717729074881,0.501605017722195
02/2016,0.5762083782970667,0.49549295430890483
03/2016,0.6231869962578898,0.3834087867697804
04/2016,0.6274461789107167,0.4046091182201027
05/2016,0.531098105346824,0.29625760273608226
06/2016,0.5506830357817493,0.34498862664276786
07/2016,0.6597188798477576,0.4784554521749055
08/2016,0.5928105806140129,0.3966640632886021
09/2016,0.55267717309091,0.44832839910041733
10/2016,0.6347167803551066,0.4262411563847585
11/2016,0.46793318861048966,0.26197123933516714
12/2016,0.4118795219875484,0.07424794541071339
01/2017,0.47521050395460934,0.30947000931369456
02/2017,0.5416106951002,0.24378320622861152
03/2017,0.5075746918960667,0.3947872586591191
04/2017,0.5073533066648372,0.2070419455656091
05/2017,0.5266569539711059,0.326178063530709
06/2017,0.5233499249469917,0.22895717337349922
07/2017,0.5119265394153645,0.28479209034941066
08/2017,0.567960557417914,-0.025136124342368966
09/2017,0.46790617680543817,0.2502495084731431
10/2017,0.4725989868448174,-0.10704849898190243
11/2017,0.43915716078881356,0.08197923076207683
12/2017,0.39632875382325494,-0.001876942324789499
01/2018,0.3858285150184008,-0.09261641759207082
02/2018,0.42795290238256484,0.3612624968304123
03/2018,0.42448676248065725,-0.038243712324380987
04/2018,0.43120708031096405,0.24232645486449936
05/2018,0.3565259464875491,-0.11856238238017339
06/2018,0.3216799856417684,0.0055248711191540805
07/2018,0.2886850232786118,0.037356604684409996
08/2018,0.32908483946048717,-0.16124925542037374
09/2018,0.30460171793368945,-0.017022552547785473
10/2018,-0.08053429374336107,-0.33671689435638735
